Stock,Best_Order,RMSE,AIC,BIC
AAPL,"(3, 1, 3)",2.5311823642245463,-15588.423745934513,-15478.824107729597
META,"(2, 1, 2)",7.880292304658231,-4792.980778980166,-4695.553968118766
NVDA,"(2, 1, 2)",228.7019118893004,-12357.011353715498,-12259.584542854096
GOOGL,"(3, 1, 3)",10.488876045549162,-10990.379871056042,-10880.791285967838
TSLA,"(2, 1, 2)",25.023393374866103,2007.5098685373484,2104.936679398749
AMZN,"(3, 1, 3)",9.442785586000307,-12033.233934206954,-11923.634296002037
MSFT,"(2, 1, 2)",3.261531970828622,-11091.730539364746,-10994.303728503344
