Stock,Date,Open,High,Low,Close,Volume
AAPL,2020-03-30 00:00:00-04:00,60.84933827038797,62.0093436795025,60.52414557218957,61.837039947509766,167976400
AAPL,2020-03-31 00:00:00-04:00,62.028770074863594,63.700824970274866,61.1551239655883,61.71085739135742,197002000
AAPL,2020-04-01 00:00:00-04:00,59.82038104472191,60.35912878890937,58.031837774101646,58.46380615234375,176218400
AAPL,2020-04-02 00:00:00-04:00,58.32546592819723,59.4927512448037,57.49064963358816,59.439361572265625,165934000
AAPL,2020-04-03 00:00:00-04:00,58.92246006471552,59.626227661114996,57.992999079947744,58.58513641357422,129880000
AAPL,2020-04-06 00:00:00-04:00,60.888155740548534,63.85126406814097,60.519286350194704,63.695953369140625,201820400
AAPL,2020-04-07 00:00:00-04:00,65.71748889327498,65.93590598005878,62.85387884275289,62.958229064941406,202887200
AAPL,2020-04-08 00:00:00-04:00,63.76148528714011,64.88509036892265,63.395044991841544,64.56961059570312,168895200
AAPL,2020-04-09 00:00:00-04:00,65.20785277807086,65.54032183594127,64.23713674062121,65.0355453491211,161834800
AAPL,2020-04-13 00:00:00-04:00,65.11321477612952,66.42125839971293,64.51136807094039,66.31204986572266,131022800
AAPL,2020-04-14 00:00:00-04:00,67.9501340306998,69.95223619410436,67.47690692059525,69.66101837158203,194994800
AAPL,2020-04-15 00:00:00-04:00,68.53256929355807,69.48629628080043,68.1030299969929,69.02520751953125,131154400
AAPL,2020-04-16 00:00:00-04:00,69.74111095168836,69.94010956261418,68.52043554980419,69.57366180419922,157125200
AAPL,2020-04-17 00:00:00-04:00,69.08829031254295,69.63674726381512,67.1881094519009,68.62962341308594,215250000
AAPL,2020-04-20 00:00:00-04:00,67.45263070247596,68.35781862849281,67.18568232250739,67.20509338378906,130015200
AAPL,2020-04-21 00:00:00-04:00,67.04735361351801,67.28275253901889,64.41428499057956,65.12776184082031,180991600
AAPL,2020-04-22 00:00:00-04:00,66.39939402555568,67.44048895263322,66.05722317141493,67.00366973876953,116862400
AAPL,2020-04-23 00:00:00-04:00,66.94785276175145,68.37480642869768,66.7051737682157,66.74400329589844,124814400
AAPL,2020-04-24 00:00:00-04:00,67.27062788736906,68.68059241326806,67.22208912055947,68.67088317871094,126161200
AAPL,2020-04-27 00:00:00-04:00,68.38695250061332,69.05189812563647,67.93800218832392,68.71942901611328,117087600
AAPL,2020-04-28 00:00:00-04:00,69.18294368703222,69.36495298340253,67.51331796268283,67.60552978515625,112004800
AAPL,2020-04-29 00:00:00-04:00,69.0980050622793,70.29684010085327,68.89415555935265,69.82604217529297,137280800
AAPL,2020-04-30 00:00:00-04:00,70.36720857906009,71.47625350962926,69.97649890054853,71.2990951538086,183064000
AAPL,2020-05-01 00:00:00-04:00,69.46686565282405,72.56102298757865,69.3697955313602,70.1512222290039,240616800
AAPL,2020-05-04 00:00:00-04:00,70.17549663342325,71.27240315582554,69.48385993378157,71.14378356933594,133568000
AAPL,2020-05-05 00:00:00-04:00,71.60488073705282,73.04639490337159,71.45927182415636,72.21157836914062,147751200
AAPL,2020-05-06 00:00:00-04:00,72.91533768168664,73.58998507405805,72.52947892116252,72.95659637451172,142333600
AAPL,2020-05-07 00:00:00-04:00,73.58513616899319,74.05836324243135,73.28178737986006,73.7113265991211,115215200
AAPL,2020-05-08 00:00:00-04:00,74.37319856682336,75.51930873875061,74.04469357012428,75.46577453613281,133838400
AAPL,2020-05-11 00:00:00-04:00,74.97179206318708,77.1496439064148,74.76251932824728,76.65324401855469,145946400
AAPL,2020-05-12 00:00:00-04:00,77.33946490194451,77.79207364909227,75.65558421726155,75.77725219726562,162301200
AAPL,2020-05-13 00:00:00-04:00,75.95730099741765,76.88198188882791,73.78187742017185,74.86228942871094,200622400
AAPL,2020-05-14 00:00:00-04:00,74.09821767406875,75.38303093576837,73.37307401489639,75.32219696044922,158929200
AAPL,2020-05-15 00:00:00-04:00,73.08595077247826,74.92313414173562,73.05188017652294,74.87689971923828,166348400
AAPL,2020-05-18 00:00:00-04:00,76.20552437986748,77.01582984347145,75.51201542213853,76.6410903930664,135178400
AAPL,2020-05-19 00:00:00-04:00,76.65812803670754,77.50736817025115,76.16659206539425,76.19822692871094,101729600
AAPL,2020-05-20 00:00:00-04:00,77.05961137211806,77.7506844400657,77.0206767368224,77.68012237548828,111504800
AAPL,2020-05-21 00:00:00-04:00,77.54142773114201,78.08406952411508,76.86251841252941,77.10099029541016,102688800
AAPL,2020-05-22 00:00:00-04:00,76.83819007988166,77.68013781166567,76.73599313969208,77.59740447998047,81803200
AAPL,2020-05-26 00:00:00-04:00,78.71918198527375,78.89924821688763,77.01583028852903,77.0718002319336,125522000
AAPL,2020-05-27 00:00:00-04:00,76.92824326203885,77.55361111108796,76.18606403867054,77.40760803222656,112945200
AAPL,2020-05-28 00:00:00-04:00,77.08152577208277,78.70457981685169,76.80412665218442,77.44166564941406,133560800
AAPL,2020-05-29 00:00:00-04:00,77.68500333141107,78.14734015890691,77.00852967618476,77.3662338256836,153532400
AAPL,2020-06-01 00:00:00-04:00,77.32000896800524,78.43935598036309,77.18860545726987,78.31768798828125,80791200
AAPL,2020-06-02 00:00:00-04:00,78.05000523231972,78.70457952577789,77.6071320252172,78.68024444580078,87642800
AAPL,2020-06-03 00:00:00-04:00,79.00145559647322,79.37619506332315,78.4271788552984,79.11338806152344,104491200
AAPL,2020-06-04 00:00:00-04:00,78.93573682356579,79.2350352304067,78.05729035571069,78.4320297241211,87560400
AAPL,2020-06-05 00:00:00-04:00,78.68266919586698,80.72668938615203,78.65347007438078,80.66585540771484,137250400
AAPL,2020-06-08 00:00:00-04:00,80.36170065582685,81.17687760567065,79.64872807646304,81.14280700683594,95654400
AAPL,2020-06-09 00:00:00-04:00,80.82160644800746,84.09933458379527,80.7899715861673,83.70513153076172,147712400
AAPL,2020-06-10 00:00:00-04:00,84.65657009743241,86.32828677869298,84.2161326502249,85.85865020751953,166651600
AAPL,2020-06-11 00:00:00-04:00,84.99968556796321,85.42552350785493,81.63435243044103,81.7365493774414,201662400
AAPL,2020-06-12 00:00:00-04:00,83.882782549069,84.63225412884543,81.32775466079362,82.44223022460938,200146000
AAPL,2020-06-15 00:00:00-04:00,81.0917097169114,84.11637395651466,80.9286713541559,83.46179962158203,138808800
AAPL,2020-06-16 00:00:00-04:00,85.52283897490148,85.9462485185203,83.88275727706606,85.6737060546875,165428800
