Stock,Date,Open,High,Low,Close,Volume,date,sentiment_mean,sentiment_min,sentiment_max,sentiment_count
AAPL,2021-10-13 04:00:00,138.60875085656076,138.76575872878743,136.60674699681144,138.28489685058594,78762700,2021-10-13,0.1603356621954468,-0.9999985607739745,0.999996861847194,6.0
AAPL,2021-10-14 04:00:00,139.46254720881987,141.19957699805144,138.87371898295444,141.08180236816406,69907100,2021-10-14,-0.1768612556644891,-0.9998710156687595,0.9999984465358125,13.0
AAPL,2021-10-15 04:00:00,141.09163451508613,142.20057294661328,140.83646861307787,142.14169311523438,67940300,2021-10-15,-0.26564860868367735,-0.9999983159676162,0.9978657598840073,18.0
AAPL,2021-10-18 04:00:00,140.77758515544568,144.1044303133813,140.4929943196034,143.81983947753906,85589200,2021-10-18,-0.5587679808150076,-0.9999993397220805,0.999976193542352,34.0
AAPL,2021-10-19 04:00:00,144.27127951188243,146.39104349887026,143.81985744353068,145.98867797851562,76378900,2021-10-19,-0.1078548537859867,-0.9999860076695768,0.9999995253041049,11.0
AAPL,2021-10-20 04:00:00,145.92977457496073,146.96021648343887,145.36057794956784,146.47933959960938,58418800,2021-10-20,-0.1917119659099571,-0.8579711006022991,-2.3299180362812425e-08,5.0
AAPL,2021-10-21 04:00:00,146.03775024713434,146.85228960669923,145.1152595272771,146.6952667236328,61421000,2021-10-21,0.05055534444924613,-0.9995234875386815,0.9999996932506291,8.0
AAPL,2021-10-22 04:00:00,146.90135341600217,147.38221538017035,145.87091138995885,145.91998291015625,58883400,2021-10-22,-0.340279908309751,-0.9999888150196058,0.999999676738902,15.0
AAPL,2021-10-25 04:00:00,145.91012834998406,146.5872762498157,144.86987823265756,145.87088012695312,50720600,2021-10-25,-0.1029800009610459,-0.999999376695456,0.9999995218931729,17.0
AAPL,2021-10-26 04:00:00,146.54807735839762,148.02994161263436,146.23403157034545,146.53826904296875,60893400,2021-10-26,0.12664770624783725,-0.9998120265809121,0.9999991744777433,14.0
AAPL,2021-10-27 04:00:00,146.57747407165155,146.94057630434148,145.72368667066797,146.0769805908203,56094900,2021-10-27,-0.1575426425863016,-0.999995512096575,0.9992634579684818,16.0
AAPL,2021-10-28 04:00:00,147.02892300470535,150.3165049156438,146.9307799732344,149.72769165039062,100077900,2021-10-28,0.4952451697341684,-0.9999420179174194,0.9999999892500613,18.0
AAPL,2021-10-29 04:00:00,144.47735511008415,147.14668386300448,143.68244746206824,147.00929260253906,124953200,2021-10-29,0.4292649752768897,-0.9999991838682547,0.9999998698262393,41.0
